Component,Weight_kg,Weight_N,x_cg_m,Moment_kg_m,Moment_N_m
all-else,4224.1677339958605,41439.08547049939,14.415,60891.377885550326,597344.4170572486
engine,3065.4,30071.574000000004,11.913892082800746,36520.84479061741,358269.4873959568
fuse,4420.1296375288575,43361.471744158094,14.415,63716.16872497848,625055.6151920389
htail,357.30736308307735,3505.185231844989,26.84592809434575,9592.247776908584,94099.95069147322
mainLG,908.1960628091101,8909.40337615737,14.415,13091.646245393322,128429.04966730849
noseLG,160.26989343690178,1572.2476546160065,4.3245,693.0871541678816,6799.184982386919
vtail,122.73507921903706,1204.0311271387536,26.55699036433301,3259.474316185616,31975.443041780894
wing,3012.765451927154,29555.229083405382,15.091222106898233,45466.31259102231,446024.52651792887
baggage_report,1050.0,10300.5,17.974,18872.7,185141.187
crew_report,360.0,3531.6000000000004,2.7170000000000005,978.1200000000002,9595.357200000002
fuel_full_report,9633.128778000002,94500.99331218003,15.091222106898233,145375.68597315118,1.4261354793966133e6
pax_aft_report,2250.0,22072.5,19.836000000000002,44631.00000000001,437830.11000000004
pax_forward_report,1800.0,17658.0,8.664000000000001,15595.200000000003,152988.91200000004
pax_middle_report,2250.0,22072.5,14.25,32062.5,314533.125
