Phase,Beta,Fuel_remaining_fraction,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Start / full fuel,1.0,1.0,33614.100000000006,14.599420048669309,26.01600780496827,8.985013660550308,6.131678696609761
After warm-up,0.99,0.9314173612910723,32953.43460938185,14.589560178135084,25.736794748547275,9.26422671697131,6.410891753030762
After taxi,0.9801,0.8635205489692338,32299.375872669883,14.579401580375277,25.449122296903855,9.551899168614728,6.69856420467418
After takeoff,0.9751995,0.829911626869924,31975.61679799746,14.574219302231521,25.302369891309944,9.698651574208638,6.845316610268091
After climb,0.95569551,0.69614811691467,30687.055680801215,14.55251015820335,24.687607614731462,10.313413850787121,7.460078886846574
After outbound cruise,0.8904030708,0.2483553401068481,26373.410195953253,14.46439821712878,22.192442562693348,12.808578902825234,9.955243938884687
After loiter,0.869777,0.10689630394073184,25010.717083753294,14.430246113680852,21.225318993088386,13.775702472430194,10.922367508489646
After descent,0.861079,0.0472431247917067,24436.07032699363,14.414702382396905,20.78514965162364,14.215871813894942,11.362536849954395
After landing,0.8541905038,1.7846396148118544e-10,23980.971223719163,14.4018637230659,20.421582878640645,14.579438586877938,11.72610362293739
