Method,x_cg_m,CG_percent_MAC,x_np_m,Static_margin_percent,MAC_m,x_LEMAC_m
DATCOM,14.334187941373271,18.50513156353574,14.916708475567543,16.495889901982842,3.531307117442942,13.680714913377953
VLM,14.334187941373271,18.50513156353574,14.815948454901422,13.642554938042295,3.531307117442942,13.680714913377953
