Component,Weight_kg,Weight_N,x_cg_m,Moment_kg_m,Moment_N_m
all-else,4001.213702136987,39251.906417963844,16.49,65980.0139482389,647263.9368322238
engine,3065.4,30071.574000000004,12.877177042557458,39473.698506255634,387236.9823463678
fuse,4962.640791542546,48683.50616503238,16.49,81833.94665253657,802791.0166613838
htail,310.2444331006431,3043.4978887173093,30.910104204814196,9589.687756104386,94074.83688738402
mainLG,860.2609459594522,8439.159879862227,16.49,14185.702998871366,139161.74641892812
noseLG,151.8107551693151,1489.2635082109812,4.946999999999999,751.0078058226017,7367.386575119723
vtail,150.42154332152393,1475.6353399841498,30.933150537195264,4653.012243601938,45646.05010973502
wing,2768.9790507695297,27163.68448804909,16.029896008847974,44386.44623451414,435431.03756058373
baggage_report,1050.0,10300.5,18.266,19179.3,188148.933
crew_report,360.0,3531.6000000000004,2.7005000000000003,972.1800000000002,9537.085800000003
fuel_full_report,9633.128778000002,94500.99331218003,16.029896008847974,154418.0525511808,1.5148410955270836e6
passengers_total_report,6300.0,61803.0,14.449999999999998,91034.99999999999,893053.3499999999
