Group,Weight_kg,Moment_kg_m,Weight_lb,Moment_ft_lb,Loc_m,Loc_ft
Structures,9204.35751986301,155399.803691451,20292.13480788515,1.1240089325716917e6,16.88328635171962,55.391359421430735
Propulsion,3065.4,39473.698506255634,6758.05018501899,285513.8080532468,12.877177042557458,42.247956176200624
Equipment,4001.213702136987,65980.0139482389,8821.16624258739,477234.3547889901,16.49,54.10104986854999
Useful load,17343.128778000002,265604.53255118075,38235.05403763655,1.9211212628802024e6,15.31468375464661,50.245025441553
