Source,Case,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Approved loading sequence,Approved loading: Crew → Passengers → Baggage → Fuel - Start: OEW + crew,16630.971221999996,15.74325952771741,31.631461800337586,5.213453849647682,3.9806743564882754
Approved loading sequence,Approved loading: Crew → Passengers → Baggage → Fuel - Board passengers,22930.971221999996,15.387952508850157,21.328796936474976,15.516118713510297,14.283339220350891
Approved loading sequence,Approved loading: Crew → Passengers → Baggage → Fuel - Load baggage/cargo,23980.971221999996,15.513966999161333,24.9827778395417,11.862137810443567,10.629358317284161
Approved loading sequence,Approved loading: Crew → Passengers → Baggage → Fuel - Fuel uplift / dispatch,33614.100000000006,15.661821934757322,29.27005551497257,7.574860135012704,6.342080641853298
Mission fuel burn,Outbound - Start of leg,33614.100000000006,15.661821934757322,29.27005551497257,7.574860135012704,6.342080641853298
Mission fuel burn,Outbound - After Warm-up,33277.958999999995,15.65810401481702,29.162248798241446,7.682666851743823,6.449887358584417
Mission fuel burn,Outbound - After Taxi,32945.17941,15.654348540129838,29.05335312477542,7.791562525209848,6.558783032050441
Mission fuel burn,Outbound - After Takeoff,32780.45351295,15.6524613669202,28.998631680822662,7.846283969162608,6.613504476003201
Mission fuel burn,Outbound - After Climb,32124.844442691,15.644758619125755,28.775278848362365,8.069636801622906,6.8368573084634985
Mission fuel burn,Outbound - After Cruise,29930.09786381907,15.616516848172166,27.956365948120727,8.888549701864543,7.655770208705136
Mission fuel burn,Outbound - After Loiter,29236.7678935615,15.606713843879081,27.672112999184773,9.172802650800495,7.94002315764109
Mission fuel burn,Outbound - After Descent,28944.400214625886,15.602439276556163,27.54816544896062,9.29675020102465,8.063970707865243
Mission fuel burn,Outbound - After Landing,28712.845012908878,15.598992044844133,27.448207747166958,9.396707902818315,8.16392840965891
Mission fuel burn,Return - Start of leg,28712.845012908878,15.598992044844133,27.448207747166958,9.396707902818315,8.16392840965891
Mission fuel burn,Return - After Warm-up,28425.71656277979,15.594639479551164,27.32199852773048,9.522917122254793,8.290137629095385
Mission fuel burn,Return - After Taxi,28141.459397151993,15.590242948952207,27.194514467693683,9.650401182291587,8.41762168913218
Mission fuel burn,Return - After Takeoff,28000.75210016623,15.588033637093433,27.1304521259666,9.714463524018672,8.481684030859267
Mission fuel burn,Return - After Climb,27440.737058162907,15.579016037669872,26.868973180141925,9.975942469843341,8.743162976683935
Mission fuel burn,Return - After Cruise,25566.005372300082,15.545953423617373,25.910272636617357,10.93464301336791,9.701863520208505
Mission fuel burn,Return - After Loiter,24973.76949572417,15.534477055933852,25.577497983094528,11.267417666890744,10.034638173731336
Mission fuel burn,Return - After Descent,24724.031800766927,15.529472824086234,25.4323927054351,11.41252294455017,10.179743451390765
Mission fuel burn,Return - After Landing,24526.23954636079,15.525437153241384,25.31537232022598,11.52954332975929,10.296763836599885
Boarding potato plot,Forward boundary: front-to-aft - Start: OEW + crew,16630.971221999996,15.74325952771741,31.631461800337586,5.213453849647682,3.9806743564882754
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 1,17170.971221999996,15.452573574055553,23.20258254329898,13.642333106686289,12.409553613526883
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 2,17710.971221999996,15.27657025436646,18.099099861012117,18.745815788973147,17.513036295813745
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 3,18250.971221999996,15.20507006287063,16.025843574007137,20.81907207597813,19.586292582818725
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 4,18790.971221999996,15.229063615983094,16.72157296713616,20.123342682849106,18.8905631896897
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 5,19330.971221999996,15.340548218728586,19.954237785381103,16.890677864604164,15.657898371444759
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 6,19780.971221999996,15.501144645765445,24.61097429278091,12.233941357204362,11.001161864044956
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 1,20320.971221999996,15.261952431199877,17.67523395032832,19.16968169965695,17.936902206497543
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 2,20860.971221999996,15.117459910656581,13.485454589261046,23.35946106072422,22.126681567564816
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 3,21400.971221999996,15.060498554131723,11.833773830638401,25.011141819346868,23.778362326187462
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 4,21940.971221999996,15.08460554444756,12.532792507196696,24.312123142788572,23.079343649629166
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 5,22480.971221999996,15.183939020032147,15.413116999443865,21.431798650541403,20.199019157381997
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 6,22930.971221999996,15.325547825413672,19.51927867412465,17.32563697586062,16.092857482701213
Boarding potato plot,Forward boundary: front-to-aft - Load baggage/cargo,23980.971221999996,15.454294687028817,23.252488819321673,13.592426830663596,12.35964733750419
Boarding potato plot,Forward boundary: front-to-aft - Fuel uplift / dispatch,33614.100000000006,15.619250513835748,28.035632722167367,8.809282927817904,7.576503434658497
Boarding potato plot,Aft boundary: aft-to-front - Start: OEW + crew,16630.971221999996,15.74325952771741,31.631461800337586,5.213453849647682,3.9806743564882754
Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 6,17080.971221999996,15.918632062077107,36.71665390713702,0.12826174284824202,-1.1045177503111645
Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 5,17620.971221999996,16.01980348242723,39.65027239007982,-2.805356740094547,-4.038136233253954
