Phase,Beta,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent,Mission_progress
Outbound - Start of leg,1.0,9633.128778000002,33614.100000000006,15.661821934757322,29.27005551497257,7.574860135012704,6.342080641853298,0.0
Outbound - After Warm-up,0.99,9296.987777999999,33277.958999999995,15.65810401481702,29.162248798241446,7.682666851743823,6.449887358584417,0.058823529411764705
Outbound - After Taxi,0.9801,8964.208188,32945.17941,15.654348540129838,29.05335312477542,7.791562525209848,6.558783032050441,0.11764705882352941
Outbound - After Takeoff,0.9751995,8799.482290950004,32780.45351295,15.6524613669202,28.998631680822662,7.846283969162608,6.613504476003201,0.17647058823529413
Outbound - After Climb,0.95569551,8143.873220691003,32124.844442691,15.644758619125755,28.775278848362365,8.069636801622906,6.8368573084634985,0.23529411764705882
Outbound - After Cruise,0.8904030708488126,5949.126641819075,29930.09786381907,15.616516848172166,27.956365948120727,8.888549701864543,7.655770208705136,0.29411764705882354
Outbound - After Loiter,0.8697769059282118,5255.796671561504,29236.7678935615,15.606713843879081,27.672112999184773,9.172802650800495,7.94002315764109,0.35294117647058826
Outbound - After Descent,0.8610791368689297,4963.42899262589,28944.400214625886,15.602439276556163,27.54816544896062,9.29675020102465,8.063970707865243,0.4117647058823529
Outbound - After Landing,0.8541905037739782,4731.873790908881,28712.845012908878,15.598992044844133,27.448207747166958,9.396707902818315,8.16392840965891,0.47058823529411764
Return - Start of leg,0.8541905037739782,4731.873790908881,28712.845012908878,15.598992044844133,27.448207747166958,9.396707902818315,8.16392840965891,0.5294117647058824
Return - After Warm-up,0.8456485987362384,4444.745340779795,28425.71656277979,15.594639479551164,27.32199852773048,9.522917122254793,8.290137629095385,0.5882352941176471
Return - After Taxi,0.8371921127488761,4160.488175151997,28141.459397151993,15.590242948952207,27.194514467693683,9.650401182291587,8.41762168913218,0.6470588235294118
Return - After Takeoff,0.8330061521851316,4019.780878166235,28000.75210016623,15.588033637093433,27.1304521259666,9.714463524018672,8.481684030859267,0.7058823529411765
Return - After Climb,0.816346029141429,3459.765836162911,27440.737058162907,15.579016037669872,26.868973180141925,9.975942469843341,8.743162976683935,0.7647058823529411
Return - After Cruise,0.7605738476502445,1585.0341503000855,25566.005372300082,15.545953423617373,25.910272636617357,10.93464301336791,9.701863520208505,0.8235294117647058
Return - After Loiter,0.7429551734457912,992.7982737241728,24973.76949572417,15.534477055933852,25.577497983094528,11.267417666890744,10.034638173731336,0.8823529411764706
Return - After Descent,0.7355256217113333,743.0605787669301,24724.031800766927,15.529472824086234,25.4323927054351,11.41252294455017,10.179743451390765,0.9411764705882353
Return - After Landing,0.7296414167376426,545.2683243607935,24526.23954636079,15.525437153241384,25.31537232022598,11.52954332975929,10.296763836599885,1.0
