Group,Component,Weight_kg,Loc_m,Moment_kg_m,Weight_lb,Loc_ft,Moment_ft_lb,Notes
Structures,wing,2768.9790507695297,16.029896008847974,44386.44623451414,6104.553854755245,52.59152233852971,321047.7804191181,Raymer quick-and-dirty / geometry-based CG
Structures,htail,310.2444331006431,30.910104204814196,9589.687756104386,683.9718955167067,101.41110303376168,69362.344368442,Raymer quick-and-dirty / geometry-based CG
Structures,vtail,150.42154332152393,30.933150537195264,4653.012243601938,331.62273722022144,101.48671436047091,33655.30200770612,Raymer quick-and-dirty / geometry-based CG
Structures,fuse,4962.640791542546,16.49,81833.94665253657,10940.750153150288,54.10104986855,591906.0696349296,Raymer quick-and-dirty / geometry-based CG
Structures,noseLG,151.8107551693151,4.946999999999999,751.0078058226017,334.6854250864039,16.230314960565,5432.049861862917,Raymer quick-and-dirty / geometry-based CG
Structures,mainLG,860.2609459594522,16.49,14185.702998871366,1896.5507421562888,54.10104986855,102605.38627963289,Raymer quick-and-dirty / geometry-based CG
Propulsion,installed engines,3065.4,12.877177042557458,39473.698506255634,6758.05018501899,42.247956176200624,285513.8080532468,1.3 × dry engine weight × 2
Equipment,all-else empty,4001.213702136987,16.49,65980.0139482389,8821.16624258739,54.10104986855,477234.3547889901,Raymer quick-and-dirty allowance
Useful load,crew,360.0,2.7005000000000003,972.1800000000002,793.664143866,8.859908136447501,7031.791405845013,4 crew assumed
Useful load,fuel usable,9633.128778000002,16.029896008847974,154418.0525511808,21237.41362317305,52.59152233852971,1.1169079129757008e6,fuel mass from TOGW minus zero-fuel weight
Useful load,passengers,6300.0,14.449999999999998,91034.99999999999,13889.122517655,47.408136482749995,658457.4159426244,70 pax × 90 kg
Useful load,baggage,1050.0,18.266,19179.3,2314.8537529425,59.92782152207,138724.14255603205,70 pax × 15 kg
