Sequence,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Crew-Fuel-Payload,0,Empty weight,16270.971221999996,16.031834399242573,39.99912703513769,-3.15421138515242,-4.386990878311826
Crew-Fuel-Payload,1,Add Crew,16630.971221999996,15.74325952771741,31.631461800337586,5.213453849647682,3.9806743564882754
Crew-Fuel-Payload,2,Add Fuel,26264.1,15.848391861785721,34.67993297243718,2.164982677548094,0.9322031843886873
Crew-Fuel-Payload,3,Add Payload,33614.100000000006,15.661821934757326,29.270055514972665,7.574860135012601,6.342080641853195
Crew-Payload-Fuel,0,Empty weight,16270.971221999996,16.031834399242573,39.99912703513769,-3.15421138515242,-4.386990878311826
Crew-Payload-Fuel,1,Add Crew,16630.971221999996,15.74325952771741,31.631461800337586,5.213453849647682,3.9806743564882754
Crew-Payload-Fuel,2,Add Payload,23980.971221999996,15.513966999161333,24.9827778395417,11.862137810443567,10.629358317284161
Crew-Payload-Fuel,3,Add Fuel,33614.100000000006,15.661821934757326,29.270055514972665,7.574860135012601,6.342080641853195
Fuel-Crew-Payload,0,Empty weight,16270.971221999996,16.031834399242573,39.99912703513769,-3.15421138515242,-4.386990878311826
Fuel-Crew-Payload,1,Add Fuel,25904.1,16.03111355720239,39.978225128996115,-3.13330947901085,-4.366088972170257
Fuel-Crew-Payload,2,Add Crew,26264.1,15.848391861785721,34.67993297243718,2.164982677548094,0.9322031843886873
Fuel-Crew-Payload,3,Add Payload,33614.100000000006,15.661821934757326,29.270055514972665,7.574860135012601,6.342080641853195
Fuel-Payload-Crew,0,Empty weight,16270.971221999996,16.031834399242573,39.99912703513769,-3.15421138515242,-4.386990878311826
Fuel-Payload-Crew,1,Add Fuel,25904.1,16.03111355720239,39.978225128996115,-3.13330947901085,-4.366088972170257
Fuel-Payload-Crew,2,Add Payload,33254.1,15.802137742327304,33.33872476081109,3.5061908891741784,2.2734113960147724
Fuel-Payload-Crew,3,Add Crew,33614.100000000006,15.661821934757326,29.270055514972665,7.574860135012601,6.342080641853195
Payload-Crew-Fuel,0,Empty weight,16270.971221999996,16.031834399242573,39.99912703513769,-3.15421138515242,-4.386990878311826
Payload-Crew-Fuel,1,Add Payload,23620.971221999996,15.709253131824743,30.645394873692183,6.199520776293084,4.966741283133677
Payload-Crew-Fuel,2,Add Crew,23980.971221999996,15.513966999161333,24.9827778395417,11.862137810443567,10.629358317284161
Payload-Crew-Fuel,3,Add Fuel,33614.100000000006,15.661821934757326,29.270055514972665,7.574860135012601,6.342080641853195
Payload-Fuel-Crew,0,Empty weight,16270.971221999996,16.031834399242573,39.99912703513769,-3.15421138515242,-4.386990878311826
Payload-Fuel-Crew,1,Add Payload,23620.971221999996,15.709253131824743,30.645394873692183,6.199520776293084,4.966741283133677
Payload-Fuel-Crew,2,Add Fuel,33254.1,15.802137742327304,33.33872476081109,3.5061908891741784,2.2734113960147724
Payload-Fuel-Crew,3,Add Crew,33614.100000000006,15.661821934757326,29.270055514972665,7.574860135012601,6.342080641853195
