Group,Weight_kg,Moment_kg_m,Weight_lb,Moment_ft_lb,Loc_m,Loc_ft
Structures,8247.626999168691,141824.55452614592,18182.905058948127,1.0258189673257526e6,17.195801233547655,56.416670713513355
Propulsion,3065.4,41228.93481377645,6758.05018501899,298209.45657764765,13.449773215168149,44.12655254302609
Equipment,3510.9333308313085,57895.29062540827,7740.283044957872,418757.4390119579,16.49,54.10104986855
Useful load,17462.739669999995,271059.61596360017,38498.7509159594,1.9605779567616011e6,15.522170122553298,50.9257549950499
