Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Recommended balanced zone boarding,0,A: OEW + crew + fuel + baggage,25986.699999999997,16.1408334235948,28.805405195609115,-0.12364750973838028,-0.4225828397466243
Recommended balanced zone boarding,1,Board zone 1,26526.699999999997,15.933787313496623,23.064781828118257,5.616975857752477,5.318040527744233
Recommended balanced zone boarding,2,Board zone 3,27966.699999999997,15.802808194350096,19.433214967628135,9.248542718242593,8.949607388234348
Recommended balanced zone boarding,3,Board zone 4,29406.699999999997,15.892282912701216,21.914018198959297,6.767739486911431,6.468804156903187
Recommended balanced zone boarding,4,Board zone 2,30846.699999999997,15.577536525104172,13.187264208671019,15.494493477199713,15.19555814719147
Recommended balanced zone boarding,5,Board zone 5,32286.699999999997,15.858182964779024,20.968552680290376,7.713205005580355,7.414269675572111
