Component,Weight_kg,Weight_N,x_cg_m,Moment_kg_m,Moment_N_m
all-else,3510.9333308313085,34442.25597545514,16.49,57895.29062540827,567952.8010352552
engine,3065.4,30071.574000000004,13.449773215168149,41228.93481377645,404455.850523147
fuse,4533.582317301588,44474.44253272858,16.49,74758.77241230318,733383.5573646942
htail,312.6224094217845,3066.825836427706,28.46734128270436,8899.52882163127,87304.37774020276
mainLG,754.8506661287312,7405.085034722853,17.65,13323.114257172105,130699.75086285835
noseLG,133.2089410815408,1306.779712009915,5.5,732.6491759484743,7187.288416054533
vtail,206.12466555282492,2022.0829690732126,28.81241977128913,5938.950389124572,58261.10331731205
wing,2307.2379996822224,22634.004776882604,16.54425745208067,38171.53946996631,374462.80220036954
baggage_report,1050.0,10300.5,15.404,16174.2,158668.902
crew_report,360.0,3531.6000000000004,2.7005000000000003,972.1800000000002,9537.085800000003
fuel_full_report,9752.739669999995,95674.37616269996,16.54425745208067,161351.8359636002,1.582861510802918e6
passengers_total_report,6300.0,61803.0,14.692285714285713,92561.4,908027.3339999999
