Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Pre-boarding loading line,0,Empty weight,14823.960330000002,16.169255087641424,32.38524241153807,-0.6211368877179955,-2.7567811075888553
Pre-boarding loading line,1,Add crew,15183.960330000002,15.849921282351449,23.125675330388578,8.638430193431507,6.502785973560647
Pre-boarding loading line,2,Add fuel,24936.699999999997,16.07674931183009,29.70289740975842,2.061208114061661,-0.07443610580919857
Pre-boarding loading line,3,Add baggage,25986.699999999997,16.16520660816161,32.267850620568915,-0.5037450967488333,-2.639389316619693
Front-biased zone boarding,0,A: OEW + crew + fuel + baggage,25986.699999999997,16.16520660816161,32.267850620568915,-0.5037450967488333,-2.639389316619693
Front-biased zone boarding,1,Board zone 1,26526.699999999997,15.95766433684979,26.24984829337758,5.514257230442503,3.378613010571643
Front-biased zone boarding,2,Board zone 2,27966.699999999997,15.607139010477221,16.085835841763465,15.678269682056614,13.542625462185754
Front-biased zone boarding,3,Board zone 3,29406.699999999997,15.498569188800962,12.937689512918414,18.826416010901667,16.690771791030805
Front-biased zone boarding,4,Board zone 4,30846.699999999997,15.598069633520385,15.822855527982425,15.941249995837657,13.805605775966797
Front-biased zone boarding,5,Board zone 5,32286.699999999997,15.877800288177898,23.93406930662717,7.830036217192916,5.694391997322056
Aft-biased zone boarding,0,A: OEW + crew + fuel + baggage,25986.699999999997,16.16520660816161,32.267850620568915,-0.5037450967488333,-2.639389316619693
Aft-biased zone boarding,1,Board zone 1,26526.699999999997,15.95766433684979,26.24984829337758,5.514257230442503,3.378613010571643
Aft-biased zone boarding,2,Board zone 5,27966.699999999997,16.262089362145456,35.07711273018271,-3.3130072063626286,-5.448651426233488
Aft-biased zone boarding,3,Board zone 4,29406.699999999997,16.329073801695305,37.01942795372068,-5.255322429900593,-7.390966649771452
Aft-biased zone boarding,4,Board zone 3,30846.699999999997,16.191870591159294,33.04101317062675,-1.2769076468066713,-3.412551866677531
Aft-biased zone boarding,5,Board zone 2,32286.699999999997,15.877800288177898,23.93406930662717,7.830036217192916,5.694391997322056
Recommended balanced zone boarding,0,A: OEW + crew + fuel + baggage,25986.699999999997,16.16520660816161,32.267850620568915,-0.5037450967488333,-2.639389316619693
Recommended balanced zone boarding,1,Board zone 1,26526.699999999997,15.95766433684979,26.24984829337758,5.514257230442503,3.378613010571643
Recommended balanced zone boarding,2,Board zone 3,27966.699999999997,15.825455794366631,22.416261471236496,9.347844052583586,7.2121998327127255
Recommended balanced zone boarding,3,Board zone 4,29406.699999999997,15.913821495248134,24.97855873331957,6.785546790500511,4.649902570629651
Recommended balanced zone boarding,4,Board zone 2,30846.699999999997,15.598069633520385,15.822855527982425,15.941249995837657,13.805605775966797
Recommended balanced zone boarding,5,Board zone 5,32286.699999999997,15.877800288177898,23.93406930662717,7.830036217192916,5.694391997322056
