Group,Weight_kg,Moment_kg_m,Weight_lb,Moment_ft_lb,Loc_m,Loc_ft
Structures,8294.406579758244,141868.642137105,18286.036380556514,1.0261378536264853e6,17.104134065880338,56.11592541276876
Propulsion,3065.4,40699.85850625563,6758.05018501899,294382.64031701576,13.277177042557458,43.560292134200616
Equipment,3464.153750241755,57123.89534148653,7637.151723349488,413177.9262386132,16.49,54.10104986855
Useful load,17462.739669999995,272949.37857946625,38498.7509159594,1.9742466359376116e6,15.630386968911752,51.28079714189379
