Label,Step_No,Step,Weight_kg,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
A,0,A: OEW + crew + fuel + baggage,25986.699999999997,32.267850620568915,-0.5037450967488333,-2.639389316619693
B,1,Board zone 1,26526.699999999997,26.24984829337758,5.514257230442503,3.378613010571643
C,2,Board zone 3,27966.699999999997,22.416261471236496,9.347844052583586,7.2121998327127255
D,3,Board zone 4,29406.699999999997,24.97855873331957,6.785546790500511,4.649902570629651
E,4,Board zone 2,30846.699999999997,15.822855527982425,15.941249995837657,13.805605775966797
F,5,Board zone 5,32286.699999999997,23.93406930662717,7.830036217192916,5.694391997322056
