Method,Order,Min_CG_percent_MAC,Max_CG_percent_MAC,Min_SM_DATCOM_percent,Min_SM_VLM_percent
Front-biased,"[1, 2, 3, 4, 5]",12.937689512918414,32.267850620568915,-0.5037450967488333,-2.639389316619693
Aft-biased,"[1, 5, 4, 3, 2]",23.93406930662717,37.01942795372068,-5.255322429900593,-7.390966649771452
Recommended balanced,"[1, 3, 4, 2, 5]",15.822855527982425,32.267850620568915,-0.5037450967488333,-2.639389316619693
