Group,Component,Weight_kg,Loc_m,Moment_kg_m,Weight_lb,Loc_ft,Moment_ft_lb,Notes
Structures,wing,2776.161333377473,16.029896008847974,44501.577477825624,6120.388077469237,52.59152233852971,321880.52629669424,Raymer quick-and-dirty / geometry-based CG
Structures,htail,311.0491568472712,30.910104204814196,9614.561850968748,685.7460076928629,101.41110303376168,69542.25904113163,Raymer quick-and-dirty / geometry-based CG
Structures,vtail,116.55860222949563,30.70699036433301,3579.1638755412464,256.9677312463619,100.74471904268432,25888.141887450744,Raymer quick-and-dirty / geometry-based CG
Structures,fuse,4975.513076956428,16.49,82046.2106390115,10969.128684768642,54.10104986855,593441.3779892105,Raymer quick-and-dirty / geometry-based CG
Structures,noseLG,152.20452764883177,4.946999999999999,752.9557982787707,335.5535448026083,16.230314960565,5446.139718280391,Raymer quick-and-dirty / geometry-based CG
Structures,mainLG,862.4923233433801,16.49,14222.498411932336,1901.4700872147807,54.10104986855,102871.52801196296,Raymer quick-and-dirty / geometry-based CG
Propulsion,installed engines,3065.4,12.877177042557458,39473.698506255634,6758.05018501899,42.247956176200624,285513.8080532468,1.3 × dry engine weight × 2
Equipment,all-else empty,4011.592201597117,16.49,66151.15540433644,8844.04691727805,54.10104986855,478472.2233114557,Raymer quick-and-dirty allowance
Useful load,crew,360.0,2.7005000000000003,972.1800000000002,793.664143866,8.859908136447501,7031.791405845013,4 crew assumed
Useful load,fuel usable,9633.128778000002,16.029896008847974,154418.0525511808,21237.41362317305,52.59152233852971,1.1169079129757008e6,fuel mass from TOGW minus zero-fuel weight
Useful load,passengers,6300.0,14.449999999999998,91034.99999999999,13889.122517655,47.408136482749995,658457.4159426244,70 pax × 90 kg
Useful load,baggage,1050.0,18.266,19179.3,2314.8537529425,59.92782152207,138724.14255603205,70 pax × 15 kg
