Group,Weight_kg,Moment_kg_m,Weight_lb,Moment_ft_lb,Loc_m,Loc_ft
Structures,9193.97902040288,154716.96805355823,20269.254133194492,1.1190699729447307e6,16.828074951032306,55.21021965539696
Propulsion,3065.4,39473.698506255634,6758.05018501899,285513.8080532468,12.877177042557458,42.247956176200624
Equipment,4011.592201597117,66151.15540433644,8844.04691727805,478472.2233114557,16.49,54.10104986855
Useful load,17343.128778000002,265604.53255118075,38235.05403763655,1.9211212628802024e6,15.31468375464661,50.245025441553
