Step_No,Weight_kg,Forward_CG_percent_MAC,Aft_CG_percent_MAC
0,27314.100000000002,33.052067394901826,33.052067394901826
1,27854.100000000002,27.30565234681753,27.30565234681753
2,29294.100000000002,17.5503007617711,35.68102822413902
3,30734.100000000002,14.469506981141157,37.51115966682703
4,32174.100000000002,17.167081532181676,33.67487330740945
5,33614.100000000006,24.900402979458843,24.900402979458843
