Group,Weight_kg,Moment_kg_m,Weight_lb,Moment_ft_lb,Loc_m,Loc_ft
Structures,9215.719384883349,157361.48599573827,20317.1834325354,1.138197807850226e6,17.075333940165336,56.021436811341985
Propulsion,3065.4,40699.85850625563,6758.05018501899,294382.64031701576,13.277177042557458,43.560292134200616
Equipment,3989.8518371166488,65792.65679405353,8796.117617937145,475879.19789764873,16.49,54.10104986855
Useful load,17343.128778000002,269457.7840623808,38235.05403763655,1.9489918844328113e6,15.536861169144503,50.973953966805624
