Method,Order,Min_CG_percent_MAC,Max_CG_percent_MAC,Min_SM_DATCOM_percent,Min_SM_VLM_percent
Front-biased,"[1, 2, 3, 4, 5]",14.469506981141157,33.052067394901826,-1.2879618710817402,-3.4236060909526
Aft-biased,"[1, 5, 4, 3, 2]",24.900402979458843,37.51115966682703,-5.74705414300694,-7.8826983628778
Recommended balanced,"[1, 3, 4, 2, 5]",17.167081532181676,33.052067394901826,-1.2879618710817402,-3.4236060909526
