Method,Order,Min_CG_percent_MAC,Max_CG_percent_MAC,Min_SM_DATCOM_percent,Min_SM_VLM_percent
Front-biased,"[1, 2, 4, 3, 5]",13.187264208671019,28.805405195609115,-0.12364750973838028,-0.4839112437696048
Aft-biased,"[1, 5, 3, 4, 2]",20.968552680290376,31.53944995573536,-2.8576922698646303,-3.217956003895855
Recommended balanced,"[1, 3, 4, 2, 5]",13.187264208671019,28.805405195609115,-0.12364750973838028,-0.4839112437696048
