Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Pre-boarding loading line,0,Empty weight,14823.96033,16.252660777605332,31.90596439593959,-3.2242067100688603,-3.5231420400771043
Pre-boarding loading line,1,Add crew,15183.96033,15.931349487671401,22.997189928461186,5.684567757409545,5.385632427401301
Pre-boarding loading line,2,Add fuel,24936.7,16.171057701611222,29.6434127126996,-0.9616550268288716,-1.2605903568371157
Pre-boarding loading line,3,Add baggage,25986.699999999997,16.14006451714795,28.78408626180208,-0.10232857593135235,-0.4012639059395964
