Source,Case,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Representative loading,Empty → Crew → Fuel → Payload - Empty weight,14823.96033,16.252660777605332,31.90596439593959,-3.2242067100688603,-3.5231420400771043
Representative loading,Empty → Crew → Fuel → Payload - Add Crew,15183.96033,15.931349487671401,22.997189928461186,5.684567757409545,5.385632427401301
Representative loading,Empty → Crew → Fuel → Payload - Add Fuel,24936.7,16.171057701611222,29.6434127126996,-0.9616550268288716,-1.2605903568371157
Representative loading,Empty → Crew → Fuel → Payload - Add Payload,32286.7,15.857564092575847,20.951393641517026,7.730364044353706,7.431428714345462
Mission fuel burn,Outbound - Start of leg,32286.7,15.857564092575847,20.951393641517026,7.730364044353706,7.431428714345462
Mission fuel burn,Outbound - After Warm-up,31963.833,15.850627796015193,20.759075775216324,7.922681910654407,7.623746580646163
Mission fuel burn,Outbound - After Taxi,31644.19467,15.843621435852915,20.56481530420552,8.116942381665211,7.818007051656968
Mission fuel burn,Outbound - After Takeoff,31485.973696650002,15.84010065185177,20.4671969770644,8.214560708806331,7.915625378798088
Mission fuel burn,Outbound - After Climb,30856.254222717,15.825730104908322,20.068754825467995,8.613002860402739,8.314067530394494
Mission fuel burn,Outbound - After Cruise,28748.17682757436,15.773041154668078,18.607884979546796,10.073872706323938,9.774937376315693
Mission fuel burn,Outbound - After Loiter,28082.226028632394,15.754752287222338,18.10080228297174,10.580955402898994,10.282020072890749
Mission fuel burn,Outbound - After Descent,27801.403768346074,15.746777487577305,17.87969056456452,10.802067121306212,10.50313179129797
Mission fuel burn,Outbound - After Landing,27578.9925381993,15.740346197540987,17.701374662623206,10.980383023247526,10.681447693239281
Mission fuel burn,Return - Start of leg,27578.9925381993,15.740346197540987,17.701374662623206,10.980383023247526,10.681447693239281
Mission fuel burn,Return - After Warm-up,27303.20261281731,15.732225881838566,17.476228321788238,11.205529364082494,10.906594034074251
Mission fuel burn,Return - After Taxi,27030.17058668914,15.724023542745213,17.248807775490313,11.432949910380419,11.134014580372174
Mission fuel burn,Return - After Takeoff,26895.01973375569,15.719901764306341,17.134526093933538,11.547231591937194,11.24829626192895
Mission fuel burn,Return - After Climb,26357.119339080575,15.703078178841556,16.668070250844632,12.013687435026098,11.714752105017853
Mission fuel burn,Return - After Cruise,24556.41964692915,15.641395275546033,14.957831329354855,13.723926356515877,13.424991026507632
Mission fuel burn,Return - After Loiter,23987.570798492226,15.619984516043395,14.364190104903502,14.31756758096723,14.018632250958985
Mission fuel burn,Return - After Descent,23747.695090507306,15.610648425780393,14.105334829142086,14.576422856728644,14.277487526720401
Mission fuel burn,Return - After Landing,23557.713529783246,15.603119320729586,13.896580574495806,14.785177111374926,14.486241781366681
Zone boarding / loading,Pre-boarding loading line - Empty weight,14823.96033,16.252660777605332,31.90596439593959,-3.2242067100688603,-3.5231420400771043
Zone boarding / loading,Pre-boarding loading line - Add crew,15183.96033,15.931349487671401,22.997189928461186,5.684567757409545,5.385632427401301
Zone boarding / loading,Pre-boarding loading line - Add fuel,24936.7,16.171057701611222,29.6434127126996,-0.9616550268288716,-1.2605903568371157
Zone boarding / loading,Pre-boarding loading line - Add baggage,25986.699999999997,16.14006451714795,28.78408626180208,-0.10232857593135235,-0.4012639059395964
Zone boarding / loading,Front-biased zone boarding - A: OEW + crew + fuel + baggage,25986.699999999997,16.14006451714795,28.78408626180208,-0.10232857593135235,-0.4012639059395964
Zone boarding / loading,Front-biased zone boarding - Board zone 1,26526.699999999997,15.933034059561448,23.043896880606475,5.637860805264255,5.338925475256011
Zone boarding / loading,Front-biased zone boarding - Board zone 2,27966.699999999997,15.583776941425649,13.360287887990347,15.321469797880383,15.02253446787214
Zone boarding / loading,Front-biased zone boarding - Board zone 4,29406.699999999997,15.683977276871213,16.13847283827256,12.543284847598171,12.244349517589928
Zone boarding / loading,Front-biased zone boarding - Board zone 3,30846.699999999997,15.576888762420896,13.169304143666965,15.512453542203767,15.213518212195524
Zone boarding / loading,Front-biased zone boarding - Board zone 5,32286.699999999997,15.85756409257585,20.951393641517075,7.7303640443536565,7.4314287143454125
Zone boarding / loading,Aft-biased zone boarding - A: OEW + crew + fuel + baggage,25986.699999999997,16.14006451714795,28.78408626180208,-0.10232857593135235,-0.4012639059395964
Zone boarding / loading,Aft-biased zone boarding - Board zone 1,26526.699999999997,15.933034059561448,23.043896880606475,5.637860805264255,5.338925475256011
Zone boarding / loading,Aft-biased zone boarding - Board zone 5,27966.699999999997,16.23872729309388,31.51964037015094,-2.8378826842802054,-3.1368180142884494
Zone boarding / loading,Aft-biased zone boarding - Board zone 3,29406.699999999997,16.09922958331838,27.65188447718111,1.0298732086896185,0.7309378786813744
Zone boarding / loading,Aft-biased zone boarding - Board zone 4,30846.699999999997,16.1706897200598,29.633209944379598,-0.9514522585088696,-1.2503875885171136
Zone boarding / loading,Aft-biased zone boarding - Board zone 2,32286.699999999997,15.85756409257585,20.951393641517075,7.7303640443536565,7.4314287143454125
Zone boarding / loading,Recommended balanced zone boarding - A: OEW + crew + fuel + baggage,25986.699999999997,16.14006451714795,28.78408626180208,-0.10232857593135235,-0.4012639059395964
Zone boarding / loading,Recommended balanced zone boarding - Board zone 1,26526.699999999997,15.933034059561448,23.043896880606475,5.637860805264255,5.338925475256011
Zone boarding / loading,Recommended balanced zone boarding - Board zone 3,27966.699999999997,15.802093725315059,19.413405382043862,9.26835230382687,8.969416973818626
Zone boarding / loading,Recommended balanced zone boarding - Board zone 4,29406.699999999997,15.891603430094797,21.895178657726863,6.786579028143871,6.487643698135627
Zone boarding / loading,Recommended balanced zone boarding - Board zone 2,30846.699999999997,15.576888762420896,13.169304143666965,15.512453542203767,15.213518212195524
Zone boarding / loading,Recommended balanced zone boarding - Board zone 5,32286.699999999997,15.85756409257585,20.951393641517075,7.7303640443536565,7.4314287143454125
