Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Front-biased zone boarding,0,A: OEW + crew + fuel + baggage,25986.699999999997,16.14006451714795,28.78408626180208,-0.10232857593135235,-0.4012639059395964
Front-biased zone boarding,1,Board zone 1,26526.699999999997,15.933034059561448,23.043896880606475,5.637860805264255,5.338925475256011
Front-biased zone boarding,2,Board zone 2,27966.699999999997,15.583776941425649,13.360287887990347,15.321469797880383,15.02253446787214
Front-biased zone boarding,3,Board zone 4,29406.699999999997,15.683977276871213,16.13847283827256,12.543284847598171,12.244349517589928
Front-biased zone boarding,4,Board zone 3,30846.699999999997,15.576888762420896,13.169304143666965,15.512453542203767,15.213518212195524
Front-biased zone boarding,5,Board zone 5,32286.699999999997,15.85756409257585,20.951393641517075,7.7303640443536565,7.4314287143454125
