Phase,Beta,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent,Mission_progress
Outbound - Start of leg,1.0,9752.739669999995,32286.7,15.857564092575847,20.951393641517026,7.730364044353706,7.431428714345462,0.0
Outbound - After Warm-up,0.99,9429.872669999993,31963.833,15.850627796015193,20.759075775216324,7.922681910654407,7.623746580646163,0.058823529411764705
Outbound - After Taxi,0.9801,9110.234339999995,31644.19467,15.843621435852915,20.56481530420552,8.116942381665211,7.818007051656968,0.11764705882352941
Outbound - After Takeoff,0.9751995,8952.013366649997,31485.973696650002,15.84010065185177,20.4671969770644,8.214560708806331,7.915625378798088,0.17647058823529413
Outbound - After Climb,0.95569551,8322.293892716996,30856.254222717,15.825730104908322,20.068754825467995,8.613002860402739,8.314067530394494,0.23529411764705882
Outbound - After Cruise,0.8904030708488126,6214.216497574354,28748.17682757436,15.773041154668078,18.607884979546796,10.073872706323938,9.774937376315693,0.29411764705882354
Outbound - After Loiter,0.8697769059282118,5548.265698632389,28082.226028632394,15.754752287222338,18.10080228297174,10.580955402898994,10.282020072890749,0.35294117647058826
Outbound - After Descent,0.8610791368689297,5267.443438346068,27801.403768346074,15.746777487577305,17.87969056456452,10.802067121306212,10.50313179129797,0.4117647058823529
Outbound - After Landing,0.8541905037739782,5045.032208199296,27578.9925381993,15.740346197540987,17.701374662623206,10.980383023247526,10.681447693239281,0.47058823529411764
Return - Start of leg,0.8541905037739782,5045.032208199296,27578.9925381993,15.740346197540987,17.701374662623206,10.980383023247526,10.681447693239281,0.5294117647058824
Return - After Warm-up,0.8456485987362384,4769.242282817304,27303.20261281731,15.732225881838566,17.476228321788238,11.205529364082494,10.906594034074251,0.5882352941176471
Return - After Taxi,0.8371921127488761,4496.2102566891335,27030.17058668914,15.724023542745213,17.248807775490313,11.432949910380419,11.134014580372174,0.6470588235294118
Return - After Takeoff,0.8330061521851316,4361.059403755684,26895.01973375569,15.719901764306341,17.134526093933538,11.547231591937194,11.24829626192895,0.7058823529411765
Return - After Climb,0.816346029141429,3823.1590090805694,26357.119339080575,15.703078178841556,16.668070250844632,12.013687435026098,11.714752105017853,0.7647058823529411
Return - After Cruise,0.7605738476502445,2022.4593169291438,24556.41964692915,15.641395275546033,14.957831329354855,13.723926356515877,13.424991026507632,0.8235294117647058
Return - After Loiter,0.7429551734457912,1453.6104684922211,23987.570798492226,15.619984516043395,14.364190104903502,14.31756758096723,14.018632250958985,0.8823529411764706
Return - After Descent,0.7355256217113333,1213.734760507301,23747.695090507306,15.610648425780393,14.105334829142086,14.576422856728644,14.277487526720401,0.9411764705882353
Return - After Landing,0.7296414167376426,1023.7531997832411,23557.713529783246,15.603119320729586,13.896580574495806,14.785177111374926,14.486241781366681,1.0
