Group,Component,Weight_kg,Loc_m,Moment_kg_m,Weight_lb,Loc_ft,Moment_ft_lb,Notes
Structures,wing,3019.573916675756,15.091222106898233,45569.060644750454,6657.020965051579,49.51188355261768,329601.64682896837,Raymer quick-and-dirty / geometry-based CG
Structures,htail,328.27192937275265,26.760104204814198,8784.591037530268,723.7157216135159,87.79561746951167,63539.06865145185,Raymer quick-and-dirty / geometry-based CG
Structures,vtail,123.01244480677148,26.55699036433301,3266.8403114264765,271.196018590083,87.12923347843433,23629.10122215716,Raymer quick-and-dirty / geometry-based CG
Structures,fuse,4430.118565409758,14.415,63860.15912038166,9766.739606780022,47.293307086425,461901.4154565973,Raymer quick-and-dirty / geometry-based CG
Structures,noseLG,160.63208290605857,4.3245,694.6534425272503,354.1331237695814,14.187992125927499,5024.43797157293,Raymer quick-and-dirty / geometry-based CG
Structures,mainLG,910.2484698009986,14.415,13121.231692181394,2006.754368027628,47.293307086425,94906.05057415535,Raymer quick-and-dirty / geometry-based CG
Propulsion,installed engines,3065.4,11.913892082800746,36520.84479061741,6758.05018501899,39.08757244997734,264155.7762275125,1.3 × dry engine weight × 2
Equipment,all-else empty,4233.713813027901,14.415,61028.984614797184,9333.741246640131,47.293307086425,441423.491042583,Raymer quick-and-dirty allowance
Useful load,crew,360.0,2.7170000000000005,978.1200000000002,793.664143866,8.914041994715003,7074.755508121054,4 crew assumed
Useful load,fuel usable,9633.128778000002,15.091222106898233,145375.68597315118,21237.41362317305,49.51188355261768,1.0515043502693204e6,fuel mass from TOGW minus zero-fuel weight
Useful load,passengers,6300.0,14.25,89775.0,13889.122517655,46.75196850375,649343.8184901314,70 pax × 90 kg
Useful load,baggage,1050.0,17.974,18872.7,2314.8537529425,58.96981627273001,136506.50050925874,70 pax × 15 kg
