Group,Weight_kg,Moment_kg_m,Weight_lb,Moment_ft_lb,Loc_m,Loc_ft
Structures,8971.857408972097,135296.53624879752,19779.55980383241,978601.7207049031,15.08010326975297,49.4754044281255
Propulsion,3065.4,36520.84479061741,6758.05018501899,264155.7762275125,11.913892082800746,39.08757244997734
Equipment,4233.713813027901,61028.984614797184,9333.741246640131,441423.491042583,14.415,47.293307086425
Useful load,17343.128778000002,255001.5059731512,38235.05403763655,1.8444294247768316e6,14.70331617998617,48.23922631209762
