Component,Weight_kg,Weight_N,x_cg_m,Moment_kg_m,Moment_N_m
all-else,4233.713813027901,41532.73250580371,14.415,61028.984614797184,598694.3390711604
engine,3065.4,30071.574000000004,11.913892082800746,36520.84479061741,358269.4873959568
fuse,4430.118565409758,43459.463126669725,14.415,63860.15912038166,626468.1609709441
htail,328.27192937275265,3220.347627146704,26.760104204814198,8784.591037530268,86176.83807817193
mainLG,910.2484698009986,8929.537488747797,14.415,13121.231692181394,128719.2829002995
noseLG,160.63208290605857,1575.8007333084347,4.3245,694.6534425272503,6814.550271192325
vtail,123.01244480677148,1206.7520835544283,26.55699036433301,3266.8403114264765,32047.703455093735
wing,3019.573916675756,29622.02012258917,15.091222106898233,45569.060644750454,447032.484925002
baggage_report,1050.0,10300.5,17.974,18872.7,185141.187
crew_report,360.0,3531.6000000000004,2.7170000000000005,978.1200000000002,9595.357200000002
fuel_full_report,9633.128778000002,94500.99331218003,15.091222106898233,145375.68597315118,1.4261354793966133e6
passengers_total_report,6300.0,61803.0,14.25,89775.0,880692.75
