Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Pre-boarding loading line,0,Empty weight,14823.96033,16.25400868603988,31.943336914809645,-3.2615792289389103,-3.5605145589471543
Pre-boarding loading line,1,Add crew,15183.96033,15.932665438235547,23.033676373704807,5.648081312165924,5.34914598215768
Pre-boarding loading line,2,Add fuel,24936.7,16.171858984104986,29.665629314622162,-0.9838716287514304,-1.2828069587596744
Pre-boarding loading line,3,Add baggage,25986.699999999997,16.1408334235948,28.805405195609115,-0.12364750973838028,-0.4225828397466243
Front-biased zone boarding,0,A: OEW + crew + fuel + baggage,25986.699999999997,16.1408334235948,28.805405195609115,-0.12364750973838028,-0.4225828397466243
Front-biased zone boarding,1,Board zone 1,26526.699999999997,15.933787313496623,23.064781828118257,5.616975857752477,5.318040527744233
Front-biased zone boarding,2,Board zone 2,27966.699999999997,15.584491410460686,13.380097473574626,15.301660212296106,15.002724882287861
Front-biased zone boarding,3,Board zone 4,29406.699999999997,15.684656759477631,16.157312379504997,12.524445306365733,12.225509976357488
Front-biased zone boarding,4,Board zone 3,30846.699999999997,15.577536525104172,13.187264208671019,15.494493477199713,15.19555814719147
Front-biased zone boarding,5,Board zone 5,32286.699999999997,15.858182964779024,20.968552680290376,7.713205005580355,7.414269675572111
Aft-biased zone boarding,0,A: OEW + crew + fuel + baggage,25986.699999999997,16.1408334235948,28.805405195609115,-0.12364750973838028,-0.4225828397466243
Aft-biased zone boarding,1,Board zone 1,26526.699999999997,15.933787313496623,23.064781828118257,5.616975857752477,5.318040527744233
Aft-biased zone boarding,2,Board zone 5,27966.699999999997,16.239441762128923,31.53944995573536,-2.8576922698646303,-3.1566275998728743
Aft-biased zone boarding,3,Board zone 3,29406.699999999997,16.099909065924802,27.670724018413647,1.0110336674570803,0.7120983374488363
Aft-biased zone boarding,4,Board zone 4,30846.699999999997,16.171337482743077,29.65117000938366,-0.9694123235129241,-1.2683476535211682
Aft-biased zone boarding,5,Board zone 2,32286.699999999997,15.858182964779024,20.968552680290376,7.713205005580355,7.414269675572111
Recommended balanced zone boarding,0,A: OEW + crew + fuel + baggage,25986.699999999997,16.1408334235948,28.805405195609115,-0.12364750973838028,-0.4225828397466243
Recommended balanced zone boarding,1,Board zone 1,26526.699999999997,15.933787313496623,23.064781828118257,5.616975857752477,5.318040527744233
Recommended balanced zone boarding,2,Board zone 3,27966.699999999997,15.802808194350096,19.433214967628135,9.248542718242593,8.949607388234348
Recommended balanced zone boarding,3,Board zone 4,29406.699999999997,15.892282912701216,21.914018198959297,6.767739486911431,6.468804156903187
Recommended balanced zone boarding,4,Board zone 2,30846.699999999997,15.577536525104172,13.187264208671019,15.494493477199713,15.19555814719147
Recommended balanced zone boarding,5,Board zone 5,32286.699999999997,15.858182964779024,20.968552680290376,7.713205005580355,7.414269675572111
