Group,Component,Weight_kg,Loc_m,Moment_kg_m,Weight_lb,Loc_ft,Moment_ft_lb,Notes
Structures,wing,2307.2379996822224,16.54425745208067,38171.53946996631,5086.58908809137,54.27905988193732,276095.27370732045,Raymer quick-and-dirty / geometry-based CG
Structures,htail,312.6224094217845,28.46734128270436,8899.52882163127,689.2144359085187,93.39678898487695,64370.41523587891,Raymer quick-and-dirty / geometry-based CG
Structures,vtail,206.12466555282492,28.81241977128913,5938.950389124572,454.4271005990233,94.52893625713216,42956.51042603845,Raymer quick-and-dirty / geometry-based CG
Structures,fuse,4533.582317301588,16.49,74758.77241230318,9994.838134742226,54.10104986855,540731.2363557743,Raymer quick-and-dirty / geometry-based CG
Structures,noseLG,133.2089410815408,5.5,732.6491759484743,293.6754449410486,18.044619422500002,5299.261637694576,Raymer quick-and-dirty / geometry-based CG
Structures,mainLG,754.8506661287312,17.65,13323.114257172105,1664.1608546659422,57.90682414675,96366.2699630459,Raymer quick-and-dirty / geometry-based CG
Propulsion,installed engines,3065.4,13.449773215168149,41228.93481377645,6758.05018501899,44.12655254302609,298209.45657764765,1.3 × dry engine weight × 2
Equipment,all-else empty,3510.9333308313085,16.49,57895.29062540827,7740.283044957872,54.10104986855,418757.4390119579,Raymer quick-and-dirty allowance
Useful load,crew,360.0,2.7005000000000003,972.1800000000002,793.664143866,8.859908136447501,7031.791405845013,4 crew assumed
Useful load,fuel usable,9752.739669999995,16.54425745208067,161351.8359636002,21501.110501495892,54.27905988193732,1.167060064438847e6,fuel mass from TOGW minus zero-fuel weight
Useful load,passengers,6300.0,14.692285714285713,92561.4,13889.122517655,48.20303712016714,669497.8882850732,70 pax × 90 kg
Useful load,baggage,1050.0,15.404,16174.2,2314.8537529425,50.53805774258,116988.21263183607,70 pax × 15 kg
