Step_No,Weight_kg,Forward_CG_percent_MAC,Aft_CG_percent_MAC
0,25986.699999999997,28.805405195609115,28.805405195609115
1,26526.699999999997,23.064781828118257,23.064781828118257
2,27966.699999999997,13.380097473574626,31.53944995573536
3,29406.699999999997,16.157312379504997,27.670724018413647
4,30846.699999999997,13.187264208671019,29.65117000938366
5,32286.699999999997,20.968552680290376,20.968552680290376
