Phase,Mission_progress,Beta,Fuel_remaining_fraction,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Outbound - Start of leg,0.0,1.0,1.0,9633.128778000002,33614.1,14.486283887731267,24.180064117864564,8.650594378433029,8.599614998419735
Outbound - After warm-up,0.03429131936058361,0.9907624260757855,0.9677661598010514,9322.616044354058,33303.58726635406,14.481215410139919,24.03309593761266,8.797562558684936,8.746583178671642
Outbound - After taxi,0.06823972552756143,0.9816172278908127,0.9358546580040923,9015.208438044572,32996.17966004457,14.476103648984083,23.88487268488719,8.945785811410406,8.894806431397111
Outbound - After takeoff,0.08504418658021533,0.9770903547892514,0.9200584646145975,8863.041672921376,32844.012894921376,14.473537921336241,23.810475527825872,9.02018296847172,8.969203588458427
Outbound - After climb,0.15192594156977826,0.959073399845037,0.8571896149244085,8257.417947731059,32238.389169731057,14.46308629313222,23.50741474672725,9.323243749570342,9.272264369557048
Outbound - After cruise,0.3758223300136467,0.8987590264648078,0.646727009787172,6230.004569490696,30210.975791490695,14.425048541273757,22.404452551322596,10.426205944974999,10.375226564961705
Outbound - After loiter,0.4465518481093275,0.8797055410866992,0.580241262777232,5589.538806642415,29570.510028642413,14.411948189120496,22.024588009766624,10.80607048653097,10.755091106517677
Outbound - After descent,0.47637843768916305,0.8716706992874174,0.5522042685721866,5319.454830917173,29300.426052917173,14.406252101164595,21.859421316939045,10.971237179358546,10.920257799345253
Outbound - After landing,0.5,0.8653074000000001,0.53,5105.558252340002,29086.52947434,14.401665947349937,21.726438844717734,11.10421965157986,11.053240271566565
Return - After warm-up,0.5342913193605836,0.8560698260757853,0.4977661598010514,4795.045518694056,28776.016740694053,14.394886918983637,21.5298706553719,11.300787840925691,11.249808460912398
Return - After taxi,0.5682397255275614,0.8469246278908128,0.46585465800409226,4487.63791238457,28468.60913438457,14.388030011314614,21.331044237752522,11.499614258545074,11.448634878531779
Return - After takeoff,0.5850441865802153,0.8423977547892514,0.4500584646145976,4335.471147261375,28316.442369261375,14.384580754829155,21.231027824588274,11.599630671709319,11.548651291696025
Return - After climb,0.6519259415697782,0.824380799845037,0.38718961492440845,3729.847422071058,27710.818644071056,14.37047730183916,20.82207685581088,12.008581640486714,11.95760226047342
Return - After cruise,0.8758223300136467,0.7640664264648077,0.17672700978717207,1702.4340438306954,25683.405265830694,14.318423678317895,19.312703244788512,13.517955251509083,13.466975871495789
Return - After loiter,0.9465518481093276,0.7450129410866991,0.11024126277723208,1061.9682809824149,25042.93950298241,14.300227984123767,18.7850915476003,14.045566948697296,13.994587568684002
Return - After descent,0.9763784376891631,0.7369780992874172,0.08220426857218668,791.8843052571727,24772.85552725717,14.292272839798146,18.554420095649192,14.276238400648403,14.225259020635109
Return - After landing,1.0,0.7306147999999999,0.06,577.9877266800002,24558.958948679996,14.285848501027568,18.368136668048454,14.46252182824914,14.411542448235846
