Group,Component,Weight_kg,Loc_m,Moment_kg_m,Weight_lb,Loc_ft,Moment_ft_lb,Notes
Structures,wing,2949.914027214119,15.029896008847974,44336.90106407014,6503.447196908884,49.31068244352971,320689.4195150374,Raymer quick-and-dirty / geometry-based CG
Structures,htail,330.51691193342066,26.760104204814198,8844.667004791734,728.6650609524235,87.79561746951167,63973.59895477737,Raymer quick-and-dirty / geometry-based CG
Structures,vtail,123.85370099905091,26.55699036433301,3289.181544018777,273.0506710223536,87.12923347843433,23790.69566694981,Raymer quick-and-dirty / geometry-based CG
Structures,fuse,4460.415212887476,14.415,64296.88529377296,9833.532281175612,47.293307086425,465060.2619179116,Raymer quick-and-dirty / geometry-based CG
Structures,noseLG,161.7306118771373,4.3245,699.4040310626802,356.5549655899792,14.187992125927499,5058.799044250975,Raymer quick-and-dirty / geometry-based CG
Structures,mainLG,916.4734673037781,14.415,13210.96503118396,2020.4781383432155,47.293307086425,95555.093058074,Raymer quick-and-dirty / geometry-based CG
Propulsion,installed engines,3065.4,11.877177042557458,36408.29850625563,6758.05018501899,38.967116281200624,263341.7273938244,1.3 × dry engine weight × 2
Equipment,all-else empty,4262.667289785015,14.415,61446.34898225099,9397.572736480073,47.293307086425,444442.29329336743,Raymer quick-and-dirty allowance
Useful load,crew,360.0,2.7170000000000005,978.1200000000002,793.664143866,8.914041994715003,7074.755508121054,4 crew assumed
Useful load,fuel usable,9633.128778000002,15.029896008847974,144784.92377318078,21237.41362317305,49.31068244352971,1.047231359094178e6,fuel mass from TOGW minus zero-fuel weight
Useful load,passengers,6300.0,14.25,89775.0,13889.122517655,46.75196850375,649343.8184901314,70 pax × 90 kg
Useful load,baggage,1050.0,17.974,18872.7,2314.8537529425,58.96981627273001,136506.50050925874,70 pax × 15 kg
