Method,x_cg_m,CG_percent_MAC,x_np_m,Static_margin_percent,MAC_m,x_LEMAC_m
DATCOM,14.291258234357837,18.525000075031862,14.784616109602503,14.305658421265733,3.448690446231237,13.652388326605884
VLM,14.291258234357837,18.525000075031862,14.782857988594436,14.254679041252437,3.448690446231237,13.652388326605884
