Component,Weight_kg,Weight_N,x_cg_m,Moment_kg_m,Moment_N_m
all-else,4262.667289785015,41816.766112790996,14.415,61446.34898225099,602788.6835158821
engine,3065.4,30071.574000000004,11.877177042557458,36408.29850625563,357165.40834636777
fuse,4460.415212887476,43756.67323842614,14.415,64296.88529377296,630752.4447319128
htail,330.51691193342066,3242.3709060668566,26.760104204814198,8844.667004791734,86766.18331700691
mainLG,916.4734673037781,8990.604714250063,14.415,13210.96503118396,129599.56695591465
noseLG,161.7306118771373,1586.577302514717,4.3245,699.4040310626802,6861.153544724893
vtail,123.85370099905091,1215.0048068006895,26.55699036433301,3289.181544018777,32266.8709468242
wing,2949.914027214119,28938.656606970508,15.029896008847974,44336.90106407014,434944.9994385281
baggage_report,1050.0,10300.5,17.974,18872.7,185141.187
crew_report,360.0,3531.6000000000004,2.7170000000000005,978.1200000000002,9595.357200000002
fuel_full_report,9633.128778000002,94500.99331218003,15.029896008847974,144784.92377318078,1.4203401022149036e6
passengers_total_report,6300.0,61803.0,14.25,89775.0,880692.75
