Label,Step_No,Step,Weight_kg,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
A,0,Start: OEW + crew + fuel,26264.1,21.780426896165682,11.050231600131912,10.999252220118619
B,1,Add baggage,27314.1,25.760342315615873,7.070316180681721,7.019336800668428
C,2,Board zone 3,28394.1,23.728280022856374,9.102378473441219,9.051399093427925
D,3,Board zone 4,29474.1,25.142428813442383,7.68822968285521,7.637250302841917
E,4,Board zone 2,30554.1,20.095120959381283,12.735537536916313,12.68455815690302
F,5,Board zone 5,31544.1,24.244555645426235,8.58610285087136,8.535123470858066
G,6,Board zone 1,32624.1,16.568299092093255,16.26235940420434,16.211380024191044
H,7,Board zone 6,33614.1,23.21633445740196,9.614324038895633,9.56334465888234
I,8,Unload zone 6,32624.1,16.568299092093255,16.26235940420434,16.211380024191044
J,9,Unload zone 1,31544.1,24.244555645426235,8.58610285087136,8.535123470858066
K,10,Unload zone 5,30554.1,20.095120959381283,12.735537536916313,12.68455815690302
L,11,Unload zone 2,29474.1,25.142428813442383,7.68822968285521,7.637250302841917
M,12,Unload zone 4,28394.1,23.728280022856374,9.102378473441219,9.051399093427925
N,13,Unload zone 3,27314.1,25.760342315615873,7.070316180681721,7.019336800668428
O,14,Unload baggage,26264.1,21.78042689616563,11.050231600131964,10.99925222011867
