Phase,Beta,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent,Mission_progress
Outbound - Start of leg,1.0,9633.128778000002,33614.100000000006,15.64659932930916,28.828653026535314,8.016262623449952,6.783483130290135,0.0
Outbound - After Warm-up,0.99,9296.987777999999,33277.959,15.642727645677454,28.716387698809626,8.128527951175643,6.8957484580158255,0.058823529411764705
Outbound - After Taxi,0.9801,8964.208188,32945.17941,15.638816854130281,28.60298837787475,8.241927272110518,7.0091477789507,0.11764705882352941
Outbound - After Takeoff,0.9751995,8799.482290950004,32780.45351295,15.636851632247277,28.546003794490286,8.29891185549498,7.066132362335162,0.17647058823529413
Outbound - After Climb,0.95569551,8143.873220691003,32124.844442691003,15.628830318439098,28.313413658227272,8.531501991757997,7.298722498598178,0.23529411764705882
Outbound - After Cruise,0.8904030708488126,5949.126641819075,29930.097863819075,15.59942053982986,27.460632607919383,9.384283042065888,8.151503548906069,0.29411764705882354
Outbound - After Loiter,0.8697769059282118,5255.796671561504,29236.7678935615,15.589212108268017,27.16462368160364,9.680291968381631,8.447512475221812,0.35294117647058826
Outbound - After Descent,0.8610791368689297,4963.42899262589,28944.40021462589,15.584760755736905,27.03554997665642,9.809365673328848,8.57658618016903,0.4117647058823529
Outbound - After Landing,0.8541905037739782,4731.873790908881,28712.845012908878,15.581170955308592,26.931458279118395,9.91345737086687,8.680677877707053,0.47058823529411764
Return - Start of leg,0.8541905037739782,4731.873790908881,28712.845012908878,15.581170955308592,26.931458279118395,9.91345737086687,8.680677877707053,0.5294117647058824
Return - After Warm-up,0.8456485987362384,4444.745340779795,28425.71656277979,15.576638379010214,26.800029368085504,10.044886281899768,8.812106788739948,0.5882352941176471
Return - After Taxi,0.8371921127488761,4160.488175151997,28141.459397151997,15.572060019112861,26.667272892294626,10.177642757690643,8.944863264530824,0.6470588235294118
Return - After Takeoff,0.8330061521851316,4019.780878166235,28000.752100166235,15.569759335747356,26.600561095414776,10.244354554570494,9.011575061410674,0.7058823529411765
Return - After Climb,0.816346029141429,3459.765836162911,27440.73705816291,15.560368791398366,26.328268046925814,10.516647603059454,9.283868109899636,0.7647058823529411
Return - After Cruise,0.7605738476502445,1585.0341503000855,25566.005372300086,15.52593879190844,25.329918092740975,11.514997557244298,10.282218064084478,0.8235294117647058
Return - After Loiter,0.7429551734457912,992.7982737241728,24973.769495724173,15.513987790911893,24.98338072782303,11.861534922162242,10.628755429002425,0.8823529411764706
Return - After Descent,0.7355256217113333,743.0605787669301,24724.031800766927,15.50877659679133,24.832274265767055,12.012641384218217,10.779861891058397,0.9411764705882353
Return - After Landing,0.7296414167376426,545.2683243607935,24526.23954636079,15.504574020887645,24.710414215721748,12.13450143426352,10.901721941103702,1.0
