Component,Weight_kg,Weight_N,x_cg_m,Moment_kg_m,Moment_N_m
all-else,4011.592201597117,39353.71949766772,16.49,66151.15540433644,648942.8345165406
engine,3065.4,30071.574000000004,12.877177042557458,39473.698506255634,387236.9823463678
fuse,4975.513076956428,48809.78328494257,16.49,82046.2106390115,804873.3263687029
htail,311.0491568472712,3051.3922286717307,30.910104204814196,9614.561850968748,94318.85175800342
mainLG,862.4923233433801,8461.04969199856,16.49,14222.498411932336,139522.70942105624
noseLG,152.20452764883177,1493.1264162350396,4.946999999999999,752.9557982787707,7386.49638111474
vtail,116.55860222949563,1143.4398878713523,30.70699036433301,3579.1638755412464,35111.597619059634
wing,2776.161333377473,27234.14268043301,16.029896008847974,44501.577477825624,436560.4750574694
baggage_report,1050.0,10300.5,18.266,19179.3,188148.933
crew_report,360.0,3531.6000000000004,2.7005000000000003,972.1800000000002,9537.085800000003
fuel_full_report,9633.128778000002,94500.99331218003,16.029896008847974,154418.0525511808,1.5148410955270836e6
passengers_total_report,6300.0,61803.0,14.449999999999998,91034.99999999999,893053.3499999999
