Sequence,Step,Weight_kg,x_cg_m,CG_percent_MAC
Front to back,Start: fuel + baggage,31612.84698841818,14.76856181725459,30.805785724589096
Front to back,Forward cabin,33412.846988418176,14.439699949396786,21.49303390435275
Front to back,Middle cabin,35662.846988418176,14.427731614780052,21.15411309631495
Front to back,Aft cabin,37912.84698841817,14.748694160021307,30.24317090314958
Back to front,Start: fuel + baggage,31612.84698841818,14.76856181725459,30.805785724589096
Back to front,Aft cabin,33862.846988418176,15.105265223057325,40.34059520461376
Back to front,Middle cabin,36112.846988418176,15.05197818222955,38.83160606672309
Back to front,Forward cabin,37912.84698841817,14.748694160021307,30.24317090314958
