Phase,Beta,Fuel_remaining_fraction,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Start / full fuel,1.0,1.0,30562.84698841818,14.658437583960547,27.68727380728566,7.313747658232925,4.460412694292378
After warm-up,0.99,0.9314173612910723,29902.181597800027,14.648875547325702,27.41649484876309,7.584526616755491,4.731191652814943
After taxi,0.9801,0.8635205489692338,29248.12286108806,14.638983608847562,27.13637368826482,7.864647777253764,5.011312813313217
After takeoff,0.9751995,0.829911626869924,28924.363786415637,14.633921567768931,26.993026171034533,8.00799529448405,5.154660330543503
After climb,0.95569551,0.69614811691467,27635.802669219393,14.612599238157307,26.389217753853746,8.611803711664837,5.75846874772429
After outbound cruise,0.8904030708,0.2483553401068481,23322.15718437143,14.524073577328952,23.882336933687167,11.118684531831418,8.26534956789087
After loiter,0.869777,0.10689630394073184,21959.46407217147,14.488879212279862,22.88569846870497,12.11532299681361,9.261988032873063
After descent,0.861079,0.0472431247917067,21384.81731541181,14.472693224541716,22.427341628027065,12.57367983749152,9.720344873550973
After landing,0.8541905038,1.7846396148118544e-10,20929.718212137344,14.459243834690561,22.046480111204524,12.954541354314056,10.101206390373509
