Label,Method,Step_No,Step,Weight_kg,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
P1,Forward boundary: front-to-aft,0,Start: OEW + crew,16630.971221999996,32.63002791396338,4.214887736021883,2.982108242861858
P2,Forward boundary: front-to-aft,1,Window seats: zone 1,17170.971221999996,24.169745325430746,12.67517032455452,11.442390831394494
P3,Forward boundary: front-to-aft,2,Window seats: zone 2,17710.971221999996,19.036774260163373,17.808141389821895,16.57536189666187
P4,Forward boundary: front-to-aft,3,Window seats: zone 3,18250.971221999996,16.93577456326626,19.90914108671901,18.676361593558983
P5,Forward boundary: front-to-aft,4,Window seats: zone 4,18790.971221999996,17.605355082641218,19.239560567344054,18.006781074184026
P6,Forward boundary: front-to-aft,5,Window seats: zone 5,19330.971221999993,20.813331935812258,16.031583714173014,14.798804221012988
P7,Forward boundary: front-to-aft,6,Window seats: zone 6,19780.971221999993,25.450524793744282,11.394390856240989,10.161611363080963
P8,Forward boundary: front-to-aft,7,Aisle seats: zone 1,20320.971221999996,18.492474628322665,18.352441021662603,17.11966152850258
P9,Forward boundary: front-to-aft,8,Aisle seats: zone 2,20860.971221999996,14.281540453252793,22.563375196732476,21.330595703572452
P10,Forward boundary: front-to-aft,9,Aisle seats: zone 3,21400.971221999996,12.609772458303558,24.23514319168171,23.002363698521687
P11,Forward boundary: front-to-aft,10,Aisle seats: zone 4,21940.971221999996,13.289692652178564,23.555222997806705,22.32244350464668
P12,Forward boundary: front-to-aft,11,Aisle seats: zone 5,22480.971221999996,16.151836164864985,20.693079485120286,19.460299991960262
P13,Forward boundary: front-to-aft,12,Aisle seats: zone 6,22930.971221999996,20.24350113021677,16.6014145197685,15.368635026608475
P14,Forward boundary: front-to-aft,13,Load baggage/cargo,23980.971221999996,23.94500140128664,12.89991424869863,11.667134755538607
P15,Forward boundary: front-to-aft,14,Fuel uplift / dispatch,33614.100000000006,28.529685048392807,8.315230601592459,7.082451108432435
P16,Aft boundary: aft-to-front,0,Start: OEW + crew,16630.971221999996,32.63002791396338,4.214887736021883,2.982108242861858
P17,Aft boundary: aft-to-front,1,Window seats: zone 6,17080.971221999996,37.68891269050074,-0.8439970405154714,-2.076776533675496
P18,Aft boundary: aft-to-front,2,Window seats: zone 5,17620.971221999996,40.59273600855726,-3.7478203585719845,-4.980599851732009
P19,Aft boundary: aft-to-front,3,Window seats: zone 4,18160.971221999996,40.58212584307041,-3.737210193085144,-4.969989686245168
P20,Aft boundary: aft-to-front,4,Window seats: zone 3,18700.971221999996,37.90954941551704,-1.0646337655317686,-2.297413258691793
P21,Aft boundary: aft-to-front,5,Window seats: zone 2,19240.971221999996,32.79913186463341,4.0457837853518654,2.8130042921918412
P22,Aft boundary: aft-to-front,6,Window seats: zone 1,19780.971221999993,25.450524793744282,11.394390856240989,10.161611363080963
P23,Aft boundary: aft-to-front,7,Aisle seats: zone 6,20230.971221999993,29.88142634087676,6.963489309108511,5.730709815948487
P24,Aft boundary: aft-to-front,8,Aisle seats: zone 5,20770.971221999996,32.547850994692524,4.297064655292745,3.0642851621327205
P25,Aft boundary: aft-to-front,9,Aisle seats: zone 4,21310.971221999996,32.74265896257769,4.102256687407576,2.8694771942475517
P26,Aft boundary: aft-to-front,10,Aisle seats: zone 3,21850.971221999996,30.649092398417622,6.1958232515676475,4.963043758407623
P27,Aft boundary: aft-to-front,11,Aisle seats: zone 2,22390.971221999996,26.43271655193531,10.412199098049959,9.179419604889933
P28,Aft boundary: aft-to-front,12,Aisle seats: zone 1,22930.971221999996,20.24350113021677,16.6014145197685,15.368635026608475
P29,Aft boundary: aft-to-front,13,Load baggage/cargo,23980.971221999996,23.94500140128664,12.89991424869863,11.667134755538607
P30,Aft boundary: aft-to-front,14,Fuel uplift / dispatch,33614.100000000006,28.529685048392807,8.315230601592459,7.082451108432435
