Group,Component,Weight_kg,Loc_m,Moment_kg_m,Weight_lb,Loc_ft,Moment_ft_lb,Notes
Structures,wing,2761.116244990827,16.029896008847974,44260.40627554376,6087.219335264304,52.59152233852971,320136.13165008265,Raymer quick-and-dirty / geometry-based CG
Structures,htail,309.3634615668512,30.910104204814196,9562.456834193401,682.0296857441032,101.41110303376168,69165.38273307934,Raymer quick-and-dirty / geometry-based CG
Structures,vtail,187.49300701021286,31.154009898651932,5841.158996324188,413.3513246933959,102.21131856472218,42249.1839273866,Raymer quick-and-dirty / geometry-based CG
Structures,fuse,4948.548853691835,16.49,81601.57059737835,10909.682748178904,54.10104986855,590225.2904092864,Raymer quick-and-dirty / geometry-based CG
Structures,noseLG,151.37967264354344,4.946999999999999,748.8752405676092,333.7350507982035,16.230314960565,5416.624987835002,Raymer quick-and-dirty / geometry-based CG
Structures,mainLG,857.8181449800795,16.49,14145.42121072151,1891.1652878564864,54.10104986855,102314.02754799448,Raymer quick-and-dirty / geometry-based CG
Propulsion,installed engines,3065.4,12.877177042557458,39473.698506255634,6758.05018501899,42.247956176200624,285513.8080532468,1.3 × dry engine weight × 2
Equipment,all-else empty,3989.8518371166488,16.49,65792.65679405353,8796.117617937145,54.10104986855,475879.19789764873,Raymer quick-and-dirty allowance
Useful load,crew,360.0,2.7005000000000003,972.1800000000002,793.664143866,8.859908136447501,7031.791405845013,4 crew assumed
Useful load,fuel usable,9633.128778000002,16.029896008847974,154418.0525511808,21237.41362317305,52.59152233852971,1.1169079129757008e6,fuel mass from TOGW minus zero-fuel weight
Useful load,passengers,6300.0,14.449999999999998,91034.99999999999,13889.122517655,47.408136482749995,658457.4159426244,70 pax × 90 kg
Useful load,baggage,1050.0,18.266,19179.3,2314.8537529425,59.92782152207,138724.14255603205,70 pax × 15 kg
