Limit,Source,Critical_case,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Forward CG limit from cases,Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 3,21400.971221999996,15.087260344666896,12.609772458303558,24.23514319168171,23.002363698521687
Aft CG limit from cases,Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 5,17620.971221999996,16.052306135196865,40.59273600855726,-3.7478203585719845,-4.980599851732009
