Group,Weight_kg,Moment_kg_m,Weight_lb,Moment_ft_lb,Loc_m,Loc_ft
Structures,9215.719384883349,156443.927880499,20317.1834325354,1.131561097293433e6,16.975769481123283,55.694781761992715
Propulsion,3065.4,39473.698506255634,6758.05018501899,285513.8080532468,12.877177042557458,42.247956176200624
Equipment,3989.8518371166488,65792.65679405353,8796.117617937145,475879.19789764873,16.49,54.10104986855
Useful load,17343.128778000002,265604.53255118075,38235.05403763655,1.9211212628802024e6,15.31468375464661,50.245025441553
