Phase,Beta,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent,Mission_progress
Outbound - Start of leg,1.0,9633.128778000002,33614.100000000006,15.687310257659398,30.009128020883608,6.835787629101661,5.603008135941637,0.0
Outbound - After Warm-up,0.99,9296.987777999999,33277.959,15.68384979552618,29.90878668299986,6.936128966985412,5.703349473825387,0.058823529411764705
Outbound - After Taxi,0.9801,8964.208188,32945.17941,15.680354379230005,29.80743179624871,7.03748385373656,5.804704360576535,0.11764705882352941
Outbound - After Takeoff,0.9751995,8799.482290950004,32780.45351295,15.678597888628909,29.75649969235358,7.088415957631693,5.85563646447167,0.17647058823529413
Outbound - After Climb,0.95569551,8143.873220691003,32124.844442691003,15.671428539236684,29.548613554006206,7.29630209597906,6.063522602819036,0.23529411764705882
Outbound - After Cruise,0.8904030708488126,5949.126641819075,29930.097863819075,15.645142449022549,28.78640857724869,8.058507072736578,6.8257275795765535,0.29411764705882354
Outbound - After Loiter,0.8697769059282118,5255.796671561504,29236.7678935615,15.636018281290966,28.521839522013416,8.323076127971854,7.090296634811829,0.35294117647058826
Outbound - After Descent,0.8610791368689297,4963.42899262589,28944.40021462589,15.632039718386347,28.406475067979372,8.4384405820059,7.205661088845875,0.4117647058823529
Outbound - After Landing,0.8541905037739782,4731.873790908881,28712.845012908878,15.628831199914885,28.313439217952055,8.531476432033216,7.298696938873191,0.47058823529411764
Return - Start of leg,0.8541905037739782,4731.873790908881,28712.845012908878,15.628831199914885,28.313439217952055,8.531476432033216,7.298696938873191,0.5294117647058824
Return - After Warm-up,0.8456485987362384,4444.745340779795,28425.71656277979,15.624780040228691,28.195969710341682,8.648945939643584,7.416166446483559,0.5882352941176471
Return - After Taxi,0.8371921127488761,4160.488175151997,28141.459397151997,15.620687959737584,28.077313642048313,8.767602007936954,7.53482251477693,0.6470588235294118
Return - After Takeoff,0.8330061521851316,4019.780878166235,28000.752100166235,15.61863163788276,28.017687477076898,8.82722817290837,7.5944486797483455,0.7058823529411765
Return - After Climb,0.816346029141429,3459.765836162911,27440.73705816291,15.610238487454899,27.77431537515241,9.070600274832861,7.837820781672836,0.7647058823529411
Return - After Cruise,0.7605738476502445,1585.0341503000855,25566.005372300086,15.57946538696034,26.882002743028888,9.962912906956383,8.730133413796358,0.8235294117647058
Return - After Loiter,0.7429551734457912,992.7982737241728,24973.769495724173,15.568783732585498,26.572272004901453,10.272643645083814,9.03986415192379,0.8823529411764706
Return - After Descent,0.7355256217113333,743.0605787669301,24724.031800766927,15.564126032825277,26.437214949684705,10.407700700300563,9.174921207140539,0.9411764705882353
Return - After Landing,0.7296414167376426,545.2683243607935,24526.23954636079,15.56036982334122,26.32829796967101,10.51661768031426,9.283838187154236,1.0
