Limit,Source,Critical_case,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Forward CG limit from cases,Boarding potato plot,Balanced-zone potato - Board zone 1,32624.100000000002,15.448518602259952,23.085002497805718,13.75991315217955,12.527133659019526
Aft CG limit from cases,Loading scenarios,Crew-Fuel-Payload - Empty weight,16270.971221999996,16.084490569742353,41.52597240791748,-4.681056757932209,-5.913836251092234
