Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Pre-boarding loading line,0,Empty weight,16270.971221999996,16.18192309380626,32.7525704266889,-0.9884649028688168,-3.124109122739677
Pre-boarding loading line,1,Add crew,16630.971221999996,15.890099348278392,24.29069917214422,7.473406351675861,5.337762131805001
Pre-boarding loading line,2,Add fuel,26264.1,16.088085601194017,30.031610280358816,1.7324952434612628,-0.40314897640959696
Pre-boarding loading line,3,Add baggage,27314.100000000002,16.17180829821666,32.45927661713128,-0.6951710933112036,-2.8308153131820637
