Sequence,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Crew-Fuel-Payload,0,Empty weight,16270.971221999996,16.18192309380626,32.7525704266889,-0.9884649028688168,-3.124109122739677
Crew-Fuel-Payload,1,Add Crew,16630.971221999996,15.890099348278392,24.29069917214422,7.473406351675861,5.337762131805001
Crew-Fuel-Payload,2,Add Fuel,26264.1,16.088085601194017,30.031610280358816,1.7324952434612628,-0.40314897640959696
Crew-Fuel-Payload,3,Add Payload,33614.100000000006,15.849104662576702,23.10199620384824,8.662109319971838,6.526465100100979
Crew-Payload-Fuel,0,Empty weight,16270.971221999996,16.18192309380626,32.7525704266889,-0.9884649028688168,-3.124109122739677
Crew-Payload-Fuel,1,Add Crew,16630.971221999996,15.890099348278392,24.29069917214422,7.473406351675861,5.337762131805001
Crew-Payload-Fuel,2,Add Payload,23980.971221999996,15.61580144145252,16.337016140788727,15.427089383031355,13.291445163160494
Crew-Payload-Fuel,3,Add Fuel,33614.100000000006,15.849104662576702,23.10199620384824,8.662109319971838,6.526465100100979
Fuel-Crew-Payload,0,Empty weight,16270.971221999996,16.18192309380626,32.7525704266889,-0.9884649028688168,-3.124109122739677
Fuel-Crew-Payload,1,Add Fuel,25904.1,16.274138419721968,35.42649339407149,-3.662387870251412,-5.798032090122272
Fuel-Crew-Payload,2,Add Crew,26264.1,16.088085601194017,30.031610280358816,1.7324952434612628,-0.40314897640959696
Fuel-Crew-Payload,3,Add Payload,33614.100000000006,15.849104662576702,23.10199620384824,8.662109319971838,6.526465100100979
Fuel-Payload-Crew,0,Empty weight,16270.971221999996,16.18192309380626,32.7525704266889,-0.9884649028688168,-3.124109122739677
Fuel-Payload-Crew,1,Add Fuel,25904.1,16.274138419721968,35.42649339407149,-3.662387870251412,-5.798032090122272
Fuel-Payload-Crew,2,Add Payload,33254.100000000006,15.991447942909883,27.229455091575762,4.53465043224432,2.39900621237346
Fuel-Payload-Crew,3,Add Crew,33614.100000000006,15.849104662576702,23.10199620384824,8.662109319971838,6.526465100100979
Payload-Crew-Fuel,0,Empty weight,16270.971221999996,16.18192309380626,32.7525704266889,-0.9884649028688168,-3.124109122739677
Payload-Crew-Fuel,1,Add Payload,23620.971221999996,15.812639601713789,22.044636564546256,9.719468959273826,7.583824739402965
Payload-Crew-Fuel,2,Add Crew,23980.971221999996,15.61580144145252,16.337016140788727,15.427089383031355,13.291445163160494
Payload-Crew-Fuel,3,Add Fuel,33614.100000000006,15.849104662576702,23.10199620384824,8.662109319971838,6.526465100100979
Payload-Fuel-Crew,0,Empty weight,16270.971221999996,16.18192309380626,32.7525704266889,-0.9884649028688168,-3.124109122739677
Payload-Fuel-Crew,1,Add Payload,23620.971221999996,15.812639601713789,22.044636564546256,9.719468959273826,7.583824739402965
Payload-Fuel-Crew,2,Add Fuel,33254.100000000006,15.991447942909883,27.229455091575762,4.53465043224432,2.39900621237346
Payload-Fuel-Crew,3,Add Crew,33614.100000000006,15.849104662576702,23.10199620384824,8.662109319971838,6.526465100100979
