Method,Order,Min_CG_percent_MAC,Max_CG_percent_MAC,Min_SM_DATCOM_percent,Min_SM_VLM_percent
Front-biased,"[1, 2, 3, 4, 5]",12.938481076613305,32.45927661713128,-0.6951710933112036,-2.8308153131820637
Aft-biased,"[5, 4, 3, 2, 1]",23.101996203848344,42.26165071510258,-10.497545191282498,-12.633189411153358
Recommended balanced,"[3, 2, 4, 1, 5]",16.063549247380163,32.45927661713128,-0.6951710933112036,-2.8308153131820637
