Phase,Beta,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent,Mission_progress
Outbound - Start of leg,1.0,9633.128778000002,33614.100000000006,15.849104662576702,23.10199620384824,8.662109319971838,6.526465100100979,0.0
Outbound - After Warm-up,0.99,9296.987777999999,33277.959,15.843238083321436,22.931885857711602,8.83221966610848,6.69657544623762,0.058823529411764705
Outbound - After Taxi,0.9801,8964.208188,32945.17941,15.837312245689862,22.760057225250545,9.004048298569538,6.868404078698678,0.11764705882352941
Outbound - After Takeoff,0.9751995,8799.482290950004,32780.45351295,15.834334437834796,22.6737111787876,9.090394345032482,6.954750125161622,0.17647058823529413
Outbound - After Climb,0.95569551,8143.873220691003,32124.844442691003,15.822180120059013,22.321278336081594,9.442827187738489,7.30718296786763,0.23529411764705882
Outbound - After Cruise,0.8904030708488126,5949.126641819075,29930.097863819075,15.77761687225694,21.02909950771584,10.735006016104238,8.59936179623338,0.29411764705882354
Outbound - After Loiter,0.8697769059282118,5255.796671561504,29236.7678935615,15.76214851829871,20.580571169223354,11.183534354596725,9.047890134725867,0.35294117647058826
Outbound - After Descent,0.8610791368689297,4963.42899262589,28944.40021462589,15.755403594151748,20.38499188334301,11.379113640477073,9.243469420606214,0.4117647058823529
Outbound - After Landing,0.8541905037739782,4731.873790908881,28712.845012908878,15.749964139194521,20.227266652794388,11.536838871025695,9.401194651154835,0.47058823529411764
Return - Start of leg,0.8541905037739782,4731.873790908881,28712.845012908878,15.749964139194521,20.227266652794388,11.536838871025695,9.401194651154835,0.5294117647058824
Return - After Warm-up,0.8456485987362384,4444.745340779795,28425.71656277979,15.743096140511152,20.028118634424864,11.73598688939522,9.60034266952436,0.5882352941176471
Return - After Taxi,0.8371921127488761,4160.488175151997,28141.459397151997,15.736158768103707,19.826959019910102,11.937146503909975,9.801502284039115,0.6470588235294118
Return - After Takeoff,0.8330061521851316,4019.780878166235,28000.752100166235,15.732672651316047,19.725873786485668,12.038231737334415,9.902587517463555,0.7058823529411765
Return - After Climb,0.816346029141429,3459.765836162911,27440.73705816291,15.71844360320315,19.31328099699809,12.450824526821993,10.315180306951133,0.7647058823529411
Return - After Cruise,0.7605738476502445,1585.0341503000855,25566.005372300086,15.666273451925209,17.800528487275052,13.963577036545027,11.827932816674167,0.8235294117647058
Return - After Loiter,0.7429551734457912,992.7982737241728,24973.769495724173,15.64816466484564,17.275436793430547,14.488668730389536,12.353024510518676,0.8823529411764706
Return - After Descent,0.7355256217113333,743.0605787669301,24724.031800766927,15.6402683886436,17.046472311835256,14.717633211984824,12.581988992113963,0.9411764705882353
Return - After Landing,0.7296414167376426,545.2683243607935,24526.23954636079,15.633900423964532,16.86182353635507,14.902281987465011,12.766637767594151,1.0
